name,capacity,town,population,roofed,latitude,longitude
Auditorio(Palacio Euskalduna de Congresos y de la Música) de Bilbao,2165,Bilbao,348089,True,43.2666712,-2.9442555
Sala A-1(Palacio Euskalduna de Congresos y de la Música) de Bilbao,615,Bilbao,348089,True,43.2666712,-2.9442555
BilboRock de Bilbao,326,Bilbao,348089,True,43.2572321,-2.9275214
Casa de la Cultura de Guadix,272,Guadix,18527,True,37.2996985,-3.1308924
Salón de Actos(Casa de la Cultura) de Almonte,300,Almonte,25233,True,37.26182382797115,-6.516205221431696
Teatro Muñoz Seca de Madrid,294,Madrid,3416771,True,40.4183658,-3.7032747
Teatro Alfil de Madrid,200,Madrid,3416771,True,40.4232134,-3.7045532
Sala Federico García Lorca(Centro Cultural Las Rozas) de Las Rozas de Madrid,292,Las Rozas de Madrid,98590,True,40.48913050236193,-3.877669737922204
Teatro(Casa de Cultura Carmen Conde) de Majadahonda,321,Majadahonda,73355,True,40.4697465212906,-3.870827017744392
Teatro(Centro Sociocultural) de El Álamo,139,El Álamo,10322,True,40.2295218,-3.9923621
Salón de Actos(Casa Municipal de la Cultura) de Fuenlabrada,270,Fuenlabrada,190790,True,40.28136835921104,-3.7923195225701183
Auditorio(Centro Cultural Villa de El Escorial) de El Escorial,148,El Escorial,16873,True,40.58229625800842,-4.127250807104809
Salón de Actos(Centro Cultural El Caleidoscopio) de Móstoles,306,Móstoles,214006,True,40.3229229,-3.849463878044261
Salón de Actos(Centro Cultural Joan Miró) de Móstoles,319,Móstoles,214006,True,40.31658891974729,-3.86169986807805
Salón de Actos(Casa de Cultura) de Mejorada del Campo,234,Mejorada del Campo,24274,True,40.3965706,-3.4829763
Salón de Actos(Centro Cultural El Castillo) de Villanueva de la Cañada,262,Villanueva de la Cañada,23593,True,40.46612853870713,-3.947089979582509
Salón de Actos(Centro Cultural La Despernada) de Villanueva de la Cañada,272,Villanueva de la Cañada,23593,True,40.4496736,-4.0007742
Teatro Cine Montecarlo(Sociedad Musical La Artística) de Buñol,1032,Buñol,9579,True,39.417952,-0.7903555
Salón de Actos(Casa de Cultura) de Utiel,155,Requena,20387,True,39.51049158706051,-1.1659231691664262
Cine Moderno(Casa de Cultura) de Alginet,924,Alginet,14442,True,39.26198006017653,-0.4674880129306513
